top - 15:17:08 up 11 min,  3 users,  load average: 0.56, 0.75, 0.61
Tasks: 239 total,   4 running, 235 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.2 us,  6.8 sy,  0.1 ni, 76.8 id, 11.9 wa,  0.0 hi,  0.2 si,  0.0 st
KiB Mem:   4030508 total,  1152532 used,  2877976 free,    49788 buffers
KiB Swap:  1046524 total,        0 used,  1046524 free.   443992 cached Mem

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  1693 turqito   20   0 1009140  57424  39888 S  32.2  1.4   0:25.39 nautilus
  1546 turqito   20   0  562624  41472  28684 S  21.5  1.0   0:07.85 hud-servi+
  1996 turqito   20   0  619768  34428  25956 R  16.1  0.9   0:03.29 gnome-ter+
  1046 root      20   0  322804  64944  23180 S  10.7  1.6   0:44.25 Xorg
  1559 turqito   20   0  626480  36284  25364 R  10.7  0.9   0:05.58 unity-pan+
     9 root      20   0       0      0      0 S   5.4  0.0   0:08.34 rcuos/0
    18 root      20   0       0      0      0 S   5.4  0.0   0:01.21 rcuos/1
  1560 turqito   20   0 1057924 101248  65972 S   5.4  2.5   0:28.27 compiz
  2024 turqito   20   0  947444  36816  15060 S   5.4  0.9   0:22.04 node
  6437 turqito   20   0   29180   3088   2656 R   5.4  0.1   0:00.04 top
     1 root      20   0  182448   5200   3724 S   0.0  0.1   0:04.76 systemd
     2 root      20   0       0      0      0 S   0.0  0.0   0:00.46 kthreadd
     3 root      20   0       0      0      0 S   0.0  0.0   0:01.14 ksoftirqd+
     5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0+
     7 root      20   0       0      0      0 S   0.0  0.0   0:09.76 rcu_sched
     8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
    10 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/0
    11 root      rt   0       0      0      0 S   0.0  0.0   0:00.89 migration+
    12 root      rt   0       0      0      0 S   0.0  0.0   0:08.95 watchdog/0
    13 root      rt   0       0      0      0 S   0.0  0.0   0:02.27 watchdog/1
    14 root      rt   0       0      0      0 S   0.0  0.0   0:00.91 migration+
    15 root      20   0       0      0      0 S   0.0  0.0   0:00.23 ksoftirqd+
    17 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    19 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/1
    20 root      rt   0       0      0      0 S   0.0  0.0   0:00.20 watchdog/2
    21 root      rt   0       0      0      0 S   0.0  0.0   0:00.65 migration+
    22 root      20   0       0      0      0 S   0.0  0.0   0:01.19 ksoftirqd+
    24 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2+
    25 root      20   0       0      0      0 S   0.0  0.0   0:01.48 rcuos/2
    26 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/2
    27 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 watchdog/3
    28 root      rt   0       0      0      0 S   0.0  0.0   0:00.28 migration+
    29 root      20   0       0      0      0 S   0.0  0.0   0:00.32 ksoftirqd+
    30 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/3+
    31 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3+
    32 root      20   0       0      0      0 S   0.0  0.0   0:01.00 rcuos/3
    33 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/3
    34 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 khelper
    35 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kdevtmpfs
    36 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
    37 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 perf
    38 root      20   0       0      0      0 S   0.0  0.0   0:00.00 khungtaskd
    39 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
    40 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
    41 root      39  19       0      0      0 S   0.0  0.0   0:02.46 khugepaged
    42 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
    43 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrit+
    44 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
    45 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
    46 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
    47 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
    48 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 devfreq_wq
    51 root      20   0       0      0      0 S   0.0  0.0   0:03.12 kworker/2+
    53 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
    54 root      20   0       0      0      0 S   0.0  0.0   0:00.00 fsnotify_+
    55 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-+
    67 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
    68 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 acpi_ther+
    69 root      20   0       0      0      0 S   0.0  0.0   0:00.01 scsi_eh_0
    70 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_0
    71 root      20   0       0      0      0 S   0.0  0.0   0:00.02 scsi_eh_1
    72 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_1
    74 root      20   0       0      0      0 S   0.0  0.0   0:01.54 kworker/0+
    78 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ipv6_addr+
    79 root      20   0       0      0      0 S   0.0  0.0   0:00.38 kworker/1+
    99 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 deferwq
   100 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 charger_m+
   153 root      20   0       0      0      0 S   0.0  0.0   0:00.01 kworker/0+
   154 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 mpt_poll_0
   155 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 mpt/0
   156 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
   158 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_2
   159 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_2
   160 root      20   0       0      0      0 S   0.0  0.0   0:00.01 kworker/1+
   162 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_3
   163 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_3
   164 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_4
   165 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_4
   166 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_5
   167 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_5
   168 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_6
   169 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_6
   170 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_7
   171 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_7
   172 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_8
   173 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_8
   174 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_9
   175 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_9
   176 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_10
   177 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   178 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_11
   179 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   180 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_12
   181 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   182 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_13
   183 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   184 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_14
   185 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   186 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_15
   187 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   188 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_16
   189 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   190 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_17
   191 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   192 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_18
   193 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   194 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_19
   195 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   196 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_20
   197 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   198 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_21
   199 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   200 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_22
   201 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   202 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_23
   203 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   204 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_24
   205 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   206 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_25
   207 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   208 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_26
